"Cód.","Nombre","","Provincia","Región","Superficie (km2)","Población 2012","Densidad (hab./km2)","IDH 2005"
"15101","Arica","","Arica","Arica y Parinacota","4.799,4","210.936","38,4","0,736"
"15102","Camarones","","Arica","Arica y Parinacota","3.927,0","679","0,3","0,751"
"15201","Putre","","Parinacota","Arica y Parinacota","5.902,5","1.462","0,2","0,707"
"15202","General Lagos","","Parinacota","Arica y Parinacota","2.244,4","739","0,5","0,670"
"01101","Iquique","","Iquique","Tarapacá","2.242,1","184.953","82,4","0,766"
"01107","Alto Hospicio","","Iquique","Tarapacá","572,9","94.455","87,6",""
"01401","Pozo Almonte","","Tamarugal","Tarapacá","13.765,8","11.519","0,7","0,722"
"01402","Camiña","","Tamarugal","Tarapacá","2.200,2","1.156","0,5","0,619"
"01403","Colchane","","Tamarugal","Tarapacá","4.015,6","1.384","0,4","0,603"
"01404","Huara","","Tamarugal","Tarapacá","10.474,6","2.360","0,2","0,676"
"01405","Pica","","Tamarugal","Tarapacá","8.934,3","4.194","0,6","0,793"
"02101","Antofagasta","","Antofagasta","Antofagasta","30.718,1","348.669","9,7","0,734"
"02102","Mejillones","","Antofagasta","Antofagasta","3.803,9","9.752","2,2","0,730"
"02103","Sierra Gorda","","Antofagasta","Antofagasta","12.886,0","1.206","0,1","0,789"
"02104","Taltal","","Antofagasta","Antofagasta","20.405,1","13.493","0,5","0,716"
"02201","Calama","","El Loa","Antofagasta","15.596,9","147.886","9,1","0,757"
"02202","Ollagüe","","El Loa","Antofagasta","2.964,0","332","0,1","0,679"
"02203","San Pedro de Atacama","","El Loa","Antofagasta","23.439,0","5.605","0,2","0,711"
"02301","Tocopilla","","Tocopilla","Antofagasta","4.038,8","20.091","5,9","0,690"
"02302","María Elena","","Tocopilla","Antofagasta","12.197,0","4.593","0,6","0,779"
"03101","Copiapó","","Copiapó","Atacama","16.681,3","158.261","11,9","0,725"
"03102","Caldera","","Copiapó","Atacama","4.666,6","16.150","2,9","0,741"
"03103","Tierra Amarilla","","Copiapó","Atacama","11.191,0","13.912","1,1","0,686"
"03201","Chañaral","","Chañaral","Atacama","5.772,0","14.146","2,2","0,714"
