Comuna,Total Mesas,Total Electores,Total Votación,% Participación
ALHUE,20,5813,3103,53.38
BUIN,189,64927,27253,41.97
CALERA DE TANGO,62,20910,10120,48.4
CERRILLOS,205,67584,22292,32.98
CERRO NAVIA,347,116423,36337,31.21
COLINA,219,74843,24234,32.38
CONCHALI,387,121265,31416,25.91
CURACAVI,69,23570,11377,48.27
EL BOSQUE,413,139195,32635,23.45
EL MONTE,74,25688,11823,46.03
ESTACION CENTRAL,377,126374,33371,26.41
HUECHURABA,197,66640,25588,38.4
INDEPENDENCIA,235,77520,23093,29.79
ISLA DE MAIPO,73,25244,10637,42.14
LA CISTERNA,259,84017,21522,25.62
LA FLORIDA,896,299996,86037,28.68
LA GRANJA,317,105549,22396,21.22
LA PINTANA,406,136563,29092,21.3
LA REINA,282,90053,33238,36.91
LAMPA,148,47225,18094,38.31
LAS CONDES,737,246481,89478,36.3
LO BARNECHEA,210,71512,30310,42.38
LO ESPEJO,295,93841,22516,23.99
LO PRADO,271,90731,22496,24.79
MACUL,287,99299,30996,31.21
MAIPU,1085,370091,103029,27.84
MARIA PINTO,30,10249,5385,52.54
MELIPILLA,265,90966,29772,32.73
ÑUÑOA,586,182372,65733,36.04
PADRE HURTADO,110,37889,14780,39.01
PAINE,139,47780,18769,39.28
PEDRO AGUIRRE CERDA,310,96273,28485,29.59
PEÑAFLOR,195,66651,26384,39.59
PEÑALOLEN,547,183451,50135,27.33
PIRQUE,60,20428,8049,39.4
PROVIDENCIA,493,162963,61480,37.73
PUDAHUEL,478,161613,38872,24.05
PUENTE ALTO,1168,374571,86403,23.07
QUILICURA,364,125232,37069,29.6
QUINTA NORMAL,304,101589,25006,24.61
RECOLETA,435,140760,40914,29.07
RENCA,338,114853,30761,26.78
SAN BERNARDO,648,218593,53929,24.67
SAN JOAQUIN,263,84181,19773,23.49
SAN JOSE DE MAIPO,43,14613,6254,42.8
SAN MIGUEL,294,97322,26681,27.42
SAN PEDRO,23,7682,4541,59.11
SAN RAMON,249,82969,23602,28.45
SANTIAGO,899,302535,67579,22.34
TALAGANTE,159,54260,20728,38.2
TILTIL,40,13602,6175,45.4
VITACURA,260,84393,38024,45.06
